"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.499716457158453,0.50008321936478,0.505129982847013,50000,0.95,0.0803587886577201,0.89030861839996,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.498938192006103,0.497609300950634,0.485136617397613,50000,0.95,0.0974589331379045,0.907650693628445,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.000778265152349619,-0.000638340543787419,-0.0137750481271712,50000,0.95,-0.609502519368957,0.603833621051431,0,49.906,NA,NA,NA,NA,NA
